Insee (Synthese!Insee);An Obs;Cd Ref;Nb Obs
80713;2021;1973;57
80713;2009;3764;57
80806;2004;4187;57
80713;2015;2616;57
80713;2022;2808;57
80688;2013;3764;57
80713;2011;4001;57
80688;2008;4564;56
80713;2021;1991;56
80713;2017;459638;56
80806;2006;4129;56
80713;1998;836203;56
80333;1993;142409;56
80713;1981;1958;56
80713;1998;2586;56
80713;2022;3676;56
80713;1997;3106;56
80713;2020;530157;56
80713;2021;4503;56
80600;2010;4187;56
80333;1999;3302;56
80806;2014;4151;56
80713;2015;66832;55
80806;2007;3764;55
80713;2017;2767;55
80713;2019;2563;55
80713;2004;4280;55
80713;2015;836222;55
80713;2009;1966;55
80806;2010;4252;55
80713;2013;3764;55
80713;1997;2741;55
80713;1997;2586;55
80806;2014;4669;55
80713;2010;4117;55
80713;2013;534742;55
80649;2018;116405;54
80713;2021;4117;54
80806;2009;4117;54
80333;2001;2767;54
80713;2019;459638;54
80713;2011;4117;54
80806;2010;534742;54
80713;2014;4187;54
80713;2005;1966;54
80713;2021;974;54
80713;2021;4564;54
80713;1997;1952;54
80713;2002;2767;54
80713;2022;3362;54
80713;1998;3070;54
80713;2022;112426;54
80688;2020;103142;54
80149;2016;4564;54
80333;2011;107085;54
80806;2010;3764;54
80713;2019;4503;54
80713;1984;2767;53
80713;1974;2767;53
80713;1997;3187;53
80600;2012;3187;53
80713;2009;4280;53
80422;2019;3297;53
80713;2012;4195;53
80806;2006;4252;53
80713;2012;4308;53
80806;2017;248401;6
80713;2008;4137;6
80713;1995;116012;6
80713;2021;3764;6
80333;2010;94273;6
80635;2017;116012;6
80600;2006;87540;6
80688;2014;198838;6
80713;1995;127314;6
80806;2017;1015437;6
80713;2018;2660;6
80713;1998;4507;6
80333;1993;96465;6
80713;2002;3165;6
80600;2002;4338;6
80713;2000;3439;6
80590;2007;139024;6
80332;2013;184883;6
80713;2013;889056;6
80228;2006;2517;6
80333;2011;4657;6
80600;2022;2530;6
80688;2020;4342;6
80713;2020;2571;6
80713;2019;4192;6
80228;2011;719217;6
80665;2022;97947;6
80637;2019;2741;6
80633;2017;2517;6
80713;2000;3465;6
80665;2022;61057;6
80228;2006;836222;6
80633;2001;4187;6
80228;2016;4117;6
80649;2006;103375;6
80806;2000;4172;6
80228;2009;2989;6
80688;1994;120732;6
80333;1997;2576;6
80808;2021;92302;6
80713;2014;105521;6
80228;2008;2911;6
80087;2020;108027;6
80688;2006;534753;6
80633;2009;96534;6
80806;2002;4619;6
80598;2016;4525;6
80333;1965;4583;6
80688;2014;192690;6
80713;2009;2568;6
80713;2022;886230;6
80600;1994;132695;6
80808;2020;92302;6
80713;1988;4257;6
80333;2008;3302;6
80633;2003;4669;6
80713;2014;4342;6
80087;2017;249246;6
80806;2000;2679;6
80600;2001;1973;6
80688;2020;107038;6
80713;2016;2734;6
80716;2015;3297;6
80806;2013;718348;6
80228;2011;4117;6
80688;1994;139024;6
80633;2019;4129;6
80649;1994;91823;6
80149;2021;3791;6
80228;2018;4187;6
80250;2014;92876;6
80637;2022;2878;6
80688;1994;79908;6
80228;2020;2522;6
80713;2019;2607;6
80600;2000;4187;6
80222;2008;2559;6
80333;2013;127259;6
80600;1968;1966;6
80649;2013;4252;6
80590;2007;198226;6
80649;2018;4474;6
80806;1997;4187;6
80713;2014;4657;6
80806;2002;530157;6
80713;2007;3206;6
80649;2006;132379;6
80713;2018;4568;6
80118;2009;126124;6
80633;2016;4117;6
80222;2019;87484;6
80633;2008;117096;6
80228;2017;1998;6
80635;2020;152226;6
80806;2002;4657;6
80087;2018;4564;6
80600;2010;82922;6
80688;1990;4187;6
80598;2016;4117;6
80633;2019;142052;6
80331;2011;2559;6
80486;2008;104340;6
80228;2015;1966;6
80228;1999;836222;6
80025;2022;117201;6
80637;2009;108027;6
80806;2002;3187;6
80303;2009;4212;6
80806;2003;4127;6
80713;2004;127314;6
80688;2016;115237;6
80688;2004;3070;6
80688;2007;534753;6
80333;1998;2576;6
80228;2001;1966;6
80633;2019;3764;6
80600;2008;4155;6
80249;2006;4564;6
80600;2022;2497;6
80692;1992;3741;6
80688;2020;88318;6
80600;1998;4187;6
80806;2004;3791;6
80580;2017;116392;6
80830;2018;4503;6
80633;1965;108345;6
80333;2009;107038;6
80635;2020;159892;6
80228;2020;117530;6
80806;2003;4172;6
80333;2008;2594;6
80688;1989;103375;6
80149;2015;3978;6
80665;2022;3429;6
80149;2021;3429;6
80228;2015;2440;6
80228;2014;3465;6
80713;2022;2504;6
80649;2012;4289;6
80713;2017;3140;6
80248;2019;103514;6
80333;2008;444436;6
80806;2000;4129;6
80665;2011;108345;6
80806;1999;88794;6
80713;2019;4657;6
80713;1997;2559;6
80806;2009;4659;6
80713;2017;2571;6
80303;2013;2767;6
80333;2002;2005;6
80688;2017;103142;6
80713;2014;3603;6
80332;2012;85486;6
80713;2007;134346;6
80688;2016;1958;6
80713;2017;73546;6
80688;2020;3611;6
80030;2020;4503;6
80808;2020;190324;6
80665;2022;3070;6
80688;2010;3070;6
80688;1964;115280;6
80830;2019;2623;6
80806;2014;4013;6
80633;2019;139706;6
80333;2018;4257;6
80333;2017;108027;6
80713;2020;199425;6
80713;1997;3611;6
80688;2015;113893;6
80649;2019;120732;6
80713;1999;2563;6
80332;2013;184839;6
80713;1997;127546;6
80713;2009;3297;6
80688;2021;4117;6
80633;2019;5802;6
80806;2002;2706;6
80649;2019;140478;6
80713;2002;2706;6
80806;2017;248467;6
80600;1998;1973;6
80806;2002;4167;6
80228;2011;4564;6
80633;2013;444430;6
80688;2022;3967;6
80600;2021;4564;6
80633;2004;4669;6
80228;2021;3311;6
80600;2011;4289;6
80590;2007;92501;6
80688;2008;1991;6
80713;2023;4583;6
80600;2020;3112;6
80333;2018;116142;6
80109;2015;3696;6
80716;2017;4001;6
80486;2017;530157;6
80649;2012;3293;6
80025;2020;80322;6
80633;2017;85486;6
80713;2017;60811;6
80332;1994;126276;6
80290;2021;3696;6
80688;2020;718664;6
80649;2009;3187;6
80688;2020;106698;6
80665;2022;3465;6
80222;2017;117056;6
80713;2022;3422;6
80333;2011;61057;6
80332;1994;119471;6
80600;2001;4023;6
80633;2016;259;6
80228;2016;4583;6
80486;2008;129147;6
80333;1994;612416;6
80633;2014;109151;6
80222;2019;104173;6
80633;2021;96465;6
80713;2021;2679;6
80806;2002;4494;6
80637;2019;3187;6
80688;1982;4516;6
80713;2009;3611;6
80713;2002;2497;6
80649;2019;119991;6
80808;2018;100310;6
80806;2006;4659;6
80332;1994;115237;6
80649;2010;4568;6
80688;1988;4187;6
80333;1998;2594;6
80713;2021;2538;6
80649;2006;608364;6
80333;2006;120732;6
80713;2007;2741;6
80713;2002;836203;6
80025;2007;119471;6
80713;2003;1973;6
80713;2012;3206;6
80600;2001;1952;6
80688;2016;4129;6
80633;2004;4280;6
80713;1997;3791;6
80713;1997;4568;6
80713;1997;610909;6
80333;2016;281;6
80149;2022;128268;6
80808;2021;79908;6
80580;2007;104214;6
80222;2017;4117;6
80713;1997;3726;6
80590;2007;129083;6
80688;1987;4192;6
80688;2015;4446;6
80580;1994;718406;6
80333;2020;105966;6
80633;2019;4280;6
80332;2018;117096;6
80688;2017;4342;6
80228;2019;2517;6
80649;2021;4501;6
80713;2020;115258;6
80222;2019;112738;6
80633;2020;4155;6
80025;2007;98717;6
80806;2020;108027;6
80600;2019;4564;6
80688;1994;127439;6
80806;2004;96226;6
80713;2021;3814;6
80649;2018;88752;6
80713;2006;459638;6
80649;1981;107085;6
80333;2001;2576;6
80713;2013;3429;6
80806;2017;249106;6
80713;2021;3429;6
80600;1994;88752;6
80688;2015;193515;6
80228;2018;53595;6
80580;2022;2669;6
80486;2009;129000;6
80688;2015;4342;6
80333;2000;3726;6
80649;2012;4507;6
80713;2006;2823;6
80806;2004;3726;6
80109;2016;4117;6
80228;2009;2895;6
80222;2021;116265;6
80649;2021;4669;6
80713;2011;459478;6
80109;2021;3003;6
80303;2016;73577;6
80486;2011;86869;6
80250;2014;100142;6
80486;2008;103772;6
80713;2006;4342;6
80713;2002;1998;6
80030;2021;3967;6
80333;2006;133108;6
80649;2017;73574;6
80713;2023;4001;6
80600;2009;3187;6
80600;2006;127547;6
80688;1989;104101;6
80649;2012;459628;6
80580;2019;4501;6
80635;2017;82922;6
80149;2017;3941;6
80688;2014;105431;6
80228;2012;1958;6
80649;2006;120732;6
80228;2015;4525;6
80228;2007;2911;6
80713;2022;4525;6
80637;2022;3070;6
80713;2017;96912;6
80228;2018;1958;6
80332;1994;91823;6
80713;2009;3250;6
80688;1989;132515;6
80688;2011;119556;6
80332;2012;185171;6
80808;2021;133219;6
80713;1997;4013;6
80303;2023;4117;6
80486;2014;73558;6
80806;2019;2543;6
80228;2019;199425;6
80806;2002;3764;6
80713;2022;107038;6
80228;2013;977;6
80600;2018;4117;6
80222;2022;3967;6
80600;2002;1973;6
80580;1994;152226;6
80600;2021;2669;6
80713;1995;88949;6
80713;1997;4117;6
80688;2008;1998;6
80806;2001;140478;6
80688;2016;627579;6
80600;2005;4023;6
80649;1994;159536;6
80600;2012;1952;6
80713;2016;88921;6
80333;2011;4001;6
80149;2022;3603;6
80713;2020;3142;6
80580;2017;104340;6
80244;1912;5093;6
80580;1994;104214;6
80806;1999;351;6
80228;2021;4001;6
80025;2007;141499;6
80637;2021;3187;6
80228;2007;788983;6
80149;2021;4582;6
80688;2012;129000;6
80649;2014;108345;6
80333;2010;99570;6
80228;1994;109869;6
80713;1997;4308;6
80633;2016;299;6
80497;2022;4564;6
80830;2018;4568;6
80633;2019;85486;6
80688;2007;3978;6
80713;2006;3116;6
80333;1999;3688;6
80649;2012;889047;6
80806;2003;126615;6
80228;2006;83832;6
80333;2009;3187;6
80637;1994;101221;6
80830;2017;2623;6
