Insee (Pheno!Mois!Insee);Mois Obs;CD REF (pheno!mois!insee);Nb Donnees
80222;9;11157;1
80637;12;239133;1
80804;7;240499;1
80688;4;52886;1
80665;6;239130;1
80580;5;65473;1
80598;9;61678;1
80496;4;239133;2
80333;10;53595;6
80331;5;52808;2
80496;7;239111;3
80333;6;65271;3
80133;3;219831;1
80327;9;1597;5
80808;7;608364;5
80665;5;52138;1
80502;8;52886;1
80635;7;11585;2
80149;1;11136;1
80637;8;65878;1
80808;6;51923;1
80688;9;61678;1
80716;10;239130;1
80497;8;65278;2
80787;7;65155;1
80155;8;238110;1
80637;8;608405;1
80713;6;233208;2
80422;12;11165;1
80688;3;239117;1
80665;8;65109;8
80688;1;11168;1
80665;8;593263;4
80332;11;239133;1
80808;6;53741;2
80228;9;238399;1
80009;2;51710;1
80332;7;159442;1
80167;12;51677;1
80087;9;18829;1
80333;7;65440;1
80637;3;62032;1
80332;3;18820;1
80815;6;53754;1
80030;7;65199;1
80713;10;219826;1
80333;6;241502;2
80332;10;11173;1
80396;4;239130;1
80222;6;219741;2
80133;6;222256;1
80806;8;65219;10
80030;8;249198;1
80332;9;238460;1
80087;5;11585;1
80600;6;64140;1
80222;6;11165;3
80635;8;53595;1
80118;6;653281;1
80580;1;65101;9
80030;6;65101;1
80290;9;29937;1
80713;7;66121;4
80025;6;65145;1
80250;9;54322;1
80332;10;65219;1
80713;7;248853;1
80665;8;52886;1
80222;6;53770;6
80804;8;66088;5
80609;2;51710;1
80815;5;520881;1
80222;9;459325;1
80808;10;223080;1
80290;8;11585;1
80222;5;239130;2
80087;8;239134;1
80713;9;53724;1
80806;8;249151;3
80030;9;65192;1
80486;9;64253;1
80030;9;65451;1
80688;5;53741;2
80486;9;51619;1
80600;11;459325;1
80713;6;65131;13
80250;5;36977;1
80713;4;219490;1
80332;1;459325;1
80250;9;237938;1
80222;10;238295;1
80030;5;653281;5
80806;8;53595;4
80332;6;247135;1
80486;8;11165;3
80713;6;608364;2
80580;8;593263;2
80333;7;238179;2
80688;7;51331;1
80806;9;53595;1
80716;5;239128;1
80665;8;54417;1
80222;7;11152;1
80713;7;239112;1
80806;10;239133;1
80244;9;11136;1
80025;8;51710;1
80497;7;1597;1
80333;9;66121;2
80228;8;53747;5
80637;1;653286;1
80333;10;608364;3
80290;8;237926;1
80713;5;241502;2
80609;11;11165;2
80496;8;1574;1
80087;5;219831;1
80815;8;238385;1
80333;4;791731;2
80087;7;11197;1
80149;5;238387;1
80548;7;237784;1
