Afficher Niveau;Afficher Niveau good;Classe;Famille;Gbif Id;Group1 Inpn;Group2 Inpn;Group3 Inpn;Nom Complet;Nom Valide;Nom Vern;Ordre;Phylum;Rang;Regne;Sous Famille;Tribu;URL;Url Inpn;Cd Nom;CD REF (taxonomie);Habitat
Chromista;Chromista;Bacillariophyceae;Fragilariaceae;7515628;Autres;Diatomées;Blebleble;Staurosira venter (Ehrenberg) Cleve & Moeller, 1879;Staurosira venter (Ehrenberg) Cleve & Moeller, 1879;;Fragilariales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/654805;https://inpn.mnhn.fr/espece/cd_nom/654805;654805;654805;2
Chromista;Chromista;Bacillariophyceae;Tabellariaceae;6789233;Autres;Diatomées;Blebleble;Diatoma vulgare Bory de Saint-Vincent, 1831;Diatoma vulgaris Bory, 1824;;Tabellariales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/75730;https://inpn.mnhn.fr/espece/cd_nom/75730;75730;852313;2
Chromista;Chromista;Bacillariophyceae;Fragilariaceae;7594030;Autres;Diatomées;Blebleble;Ulnaria biceps (Kütz.) P.Compère, 2001;Ulnaria biceps (Kütz.) P.Compère, 2001;;Fragilariales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/670153;https://inpn.mnhn.fr/espece/cd_nom/670153;670153;670153;2
Chromista;Chromista;Bacillariophyceae;Cymbellaceae;5266821;Autres;Diatomées;Blebleble;Cymbella tumida (Bréb.) van Heurck, 1880;Cymbella tumida (Bréb.) van Heurck, 1880;;Cymbellales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/75701;https://inpn.mnhn.fr/espece/cd_nom/75701;75701;75701;2
Chromista;Chromista;Bacillariophyceae;Fragilariaceae;7356801;Autres;Diatomées;Blebleble;Ulnaria ulna var. acus (Kütz.) Lange-Bert., 1980;Fragilaria acus (Kütz.) Lange-Bert., 2000;;Fragilariales;Bacillariophyta;VAR;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/811528;https://inpn.mnhn.fr/espece/cd_nom/811528;811528;682118;2
Chromista;Chromista;Bacillariophyceae;Cocconeidaceae;8138340;Autres;Diatomées;Blebleble;Cocconeis pseudolineata (Geitler) Lange-Bert., 2004;Cocconeis pseudolineata (Geitler) Lange-Bert., 2004;;Achnanthales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/656208;https://inpn.mnhn.fr/espece/cd_nom/656208;656208;656208;2
Chromista;Chromista;Bacillariophyceae;Diadesmidaceae;2636369;Autres;Diatomées;Blebleble;Diadesmis contenta (Grunow) D.G.Mann, 1990;Humidophila contenta (Grunow) Lowe, Kociolek, Johansen, Van de Vijver, Lange-Bert. & Kopalová, 2014;;Naviculales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/657913;https://inpn.mnhn.fr/espece/cd_nom/657913;657913;810524;2
Chromista;Chromista;Bacillariophyceae;Fragilariaceae;3192401;Autres;Diatomées;Blebleble;Fragilaria vaucheriae (Kütz.) J.B.Petersen, 1938;Fragilaria vaucheriae (Kütz.) J.B.Petersen, 1938;;Fragilariales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/679416;https://inpn.mnhn.fr/espece/cd_nom/679416;679416;679416;2
Chromista;Chromista;Bacillariophyceae;Aulacoseiraceae;3194060;Autres;Diatomées;Blebleble;Aulacoseira granulata var. angustissima (O.Müll.) Simonsen, 1979;Aulacoseira granulata var. angustissima (O.Müll.) Simonsen, 1979;;Aulacoseirales;Bacillariophyta;VAR;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/530297;https://inpn.mnhn.fr/espece/cd_nom/530297;530297;530297;2
Chromista;Chromista;Bacillariophyceae;Fragilariaceae;5824164;Autres;Diatomées;Blebleble;Fragilaria rumpens (Kütz.) G.W.F.Carlson, 1913;Fragilaria rumpens (Kütz.) G.W.F.Carlson, 1913;;Fragilariales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/686974;https://inpn.mnhn.fr/espece/cd_nom/686974;686974;686974;2
Chromista;Chromista;Bacillariophyceae;Diadesmidaceae;7348585;Autres;Diatomées;Blebleble;Luticola goeppertiana (Bleisch) D.G.Mann in Round, Crawford & D.G.Mann, 1990;Luticola goeppertiana (Bleisch) D.G.Mann in Round, Crawford & D.G.Mann, 1990;;Naviculales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/657921;https://inpn.mnhn.fr/espece/cd_nom/657921;657921;657921;2
Chromista;Chromista;Bacillariophyceae;Stephanodiscaceae;3193359;Autres;Diatomées;Blebleble;Cyclostephanos invisitatus (Hohn & Hellermann) Theriot, Stoermer & Håkasson, 1988;Cyclostephanos invisitatus (Hohn & Hellermann) Theriot, Stoermer & Håkasson, 1988;;Thalassiosirales;Bacillariophyta;ES;Chromista;;;https://taxref.mnhn.fr/taxref-web/taxa/653794;https://inpn.mnhn.fr/espece/cd_nom/653794;653794;653794;2
